id,name,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
9490490,Fabulous Mission Apt. Very Private,William,Mission,37.753852,-122.4111577,Private room,77,25,0,0,0,0,3,100,0.18
865873,"Huge Modern 2BR Apartment, Close to Everything",Lenza,Mission,37.76251893,-122.4242846,Entire home/apt,250,150,9,39,68,68,10,98,0.3
6834158,Cute spot in the Mission,Raymund,Mission,37.76531007,-122.4246905,Entire home/apt,235,62,0,0,0,0,10,96,0.46
13846498,1BR Private Room in Spacious Victorian Home!,Emily,Mission,37.76362666,-122.4253853,Private room,80,50,0,0,0,0,2,80,0.23
1101403,"2b/2b modern condo, super location",Hao,Mission,37.7681406,-122.4253676,Entire home/apt,300,120,0,0,0,0,22,100,0.5
15566812,Spacious Mission 1-BR,Andrew,Mission,37.75866765,-122.42388,Entire home/apt,200,0,2,2,3,19,1,100,0.22
16173016,Beautiful one bedroom Retreat - Mission District,Elizabeth,Mission,37.76148205,-122.4092539,Entire home/apt,200,100,8,33,63,250,4,95,1.6
63405,Private Studio in Mission,Jessica And Sebouh,Mission,37.75399609,-122.4177063,Entire home/apt,125,100,10,29,52,322,138,93,1.89
16857004,Private room in beautiful Mission apartment,Sarah,Mission,37.75328433,-122.4118579,Private room,40,0,0,0,0,0,0,-1,-1
11011745,Superbowl Apt. near Frway and Bart!,Christina,Mission,37.75028261,-122.4156194,Entire home/apt,500,0,0,0,0,0,0,-1,-1
17697262,Twin Beds in Prime Central Location,Jeff & Mia,Mission,37.75813182,-122.4141177,Private room,79,10,0,0,0,0,3,100,3
13043340,Mission Studio in the Perfect Location,Michael,Mission,37.75754497,-122.4201252,Entire home/apt,115,0,0,0,0,0,5,96,0.47
2049672,SF Mission Dolores Home,Joanne,Mission,37.76249605,-122.422603,Entire home/apt,575,150,1,1,14,67,11,95,0.33
16272594,Private Room in Beautiful Apartment,Hugh,Mission,37.7580424,-122.4211011,Private room,65,0,0,0,0,57,7,97,1.91
10947787,Mission House w Roof Deck / Yard,Andrew,Mission,37.75788359,-122.4075305,Entire home/apt,2000,0,0,0,0,0,0,-1,-1
15873936,Sweet Mission Room,Emma,Mission,37.75456441,-122.4125264,Private room,51,0,0,0,0,0,1,-1,0.21
11259062,Tiny Urban Cottage,Marci,Mission,37.75239754,-122.4244804,Entire home/apt,159,90,11,29,54,328,30,99,3.52
7163038,Sunlit and modern apartment in SOMA,Akhil,Mission,37.76911001,-122.4119345,Private room,120,0,0,0,0,0,1,-1,0.05
4533440,Comfortable Room in Artistic Condo,Antigone,Mission,37.76862344,-122.4244366,Private room,100,20,1,31,45,300,72,98,2.71
14011529,Bright studio in the HEART OF THE MISSION,Michael,Mission,37.76066203,-122.4208268,Shared room,50,5,0,0,0,0,1,-1,0.11
3379430,WEEKEND ROOM IN THE MISSION ,Hannah,Mission,37.75826018,-122.4083304,Private room,80,0,0,0,0,0,1,100,0.03
8029798,"Clean, cozy, and spacious apartment",Lakshman,Mission,37.75596136,-122.4095302,Private room,75,0,0,0,0,0,2,80,0.1
1623609,Private suite - in vibrant Mission,Ingrid,Mission,37.75942336,-122.4075424,Private room,155,50,0,4,19,86,132,98,3.17
16324639,Heart of the Mission New Cozy Charmer,Zack,Mission,37.75993231,-122.4213667,Entire home/apt,250,75,0,0,0,0,4,90,1.29
17501306,Quaint bedroom in the heart of SF,Charlotte,Mission,37.77021195,-122.4228986,Private room,55,20,0,0,0,0,8,97,7.5
591431,Big Victorian home in ♥ of Mission,Erika,Mission,37.75065685,-122.4234918,Entire home/apt,450,125,0,0,17,26,9,83,0.25
